Entity,Code,Year,Annual CO₂ emissions
United States,USA,1980,4808556000.0
United States,USA,1981,4686420500.0
United States,USA,1982,4447298000.0
United States,USA,1983,4429423000.0
United States,USA,1984,4662174000.0
United States,USA,1985,4652632600.0
United States,USA,1986,4663429600.0
United States,USA,1987,4825711600.0
United States,USA,1988,5050543600.0
United States,USA,1989,5132206000.0
United States,USA,1990,5120957000.0
United States,USA,1991,5062956500.0
United States,USA,1992,5174227500.0
United States,USA,1993,5272850400.0
United States,USA,1994,5364279300.0
United States,USA,1995,5425259500.0
United States,USA,1996,5612983000.0
United States,USA,1997,5688142300.0
United States,USA,1998,5733281000.0
United States,USA,1999,5803918000.0
United States,USA,2000,6010135600.0
United States,USA,2001,5907739600.0
United States,USA,2002,5946308000.0
United States,USA,2003,6010145300.0
United States,USA,2004,6112655000.0
United States,USA,2005,6132183000.0
United States,USA,2006,6052686000.0
United States,USA,2007,6130123000.0
United States,USA,2008,5915118600.0
United States,USA,2009,5480725500.0
United States,USA,2010,5679715300.0
United States,USA,2011,5546116000.0
United States,USA,2012,5344086000.0
United States,USA,2013,5480156700.0
United States,USA,2014,5528681000.0
United States,USA,2015,5376473000.0
United States,USA,2016,5252932000.0
United States,USA,2017,5212162000.0
United States,USA,2018,5377797000.0
United States,USA,2019,5262145000.0
United States,USA,2020,4714628000.0
United States,USA,2021,5032213000.0
United States,USA,2022,5057303600.0
